DATE_TIME,LATITUDE,LONGITUDE,GEOHASH,MINIMUM_SPEED,MAXIMUM_SPEED,AVERAGE_SPEED,NUMBER_OF_VEHICLES,Yogunluk
2024-10-29 22:00:00,40.8444213867188,29.2950439453125,sxkb6e,4,86,48,134,Orta
2024-10-23 06:00:00,40.9762573242188,29.2071533203125,sxkc0e,3,108,48,281,Orta
2024-10-15 23:00:00,41.0366821289063,29.1412353515625,sxk9rn,47,119,71,102,Orta
2024-10-12 18:00:00,41.2234497070313,28.9874267578125,sxkde8,42,161,90,251,Orta
2024-10-19 20:00:00,41.0037231445313,28.9324951171875,sxk962,1,96,31,73,Az
2024-10-08 11:00:00,41.1245727539063,28.8446044921875,sxk9bq,6,159,79,264,Orta
2024-10-10 20:00:00,41.1135864257813,29.0203857421875,sxk9uk,3,85,29,124,Orta
2024-10-31 07:00:00,41.0586547851563,28.6248779296875,sxk3e6,2,83,32,289,Orta
2024-10-15 16:00:00,41.0971069335938,29.0093994140625,sxk9u1,1,114,28,671,Cok
2024-10-14 15:00:00,41.1355590820313,28.2952880859375,sxk45b,11,100,52,15,Az
2024-10-01 15:00:00,40.9268188476563,29.4158935546875,sxkbv6,20,78,50,12,Az
2024-10-27 00:00:00,41.1355590820313,29.0423583984375,sxkdhb,4,86,44,23,Az
2024-10-28 22:00:00,41.1795043945313,28.4600830078125,sxk4r8,54,109,82,7,Az
2024-10-07 13:00:00,41.2289428710938,28.8555908203125,sxkd89,46,167,88,254,Orta
2024-10-12 13:00:00,41.3278198242188,27.9766845703125,sx7ghe,2,39,16,37,Az
2024-10-04 01:00:00,41.2454223632813,28.6578369140625,sxk6sh,63,147,92,44,Az
2024-10-20 13:00:00,41.1080932617188,29.1082763671875,sxk9y7,7,124,71,66,Az
2024-10-20 03:00:00,41.1520385742188,28.9215087890625,sxkd45,25,65,45,5,Az
2024-10-23 15:00:00,40.9378051757813,29.3719482421875,sxkbuk,34,170,95,196,Orta
2024-10-15 11:00:00,41.1630249023438,28.1304931640625,sxk40j,63,158,92,186,Orta
2024-10-29 14:00:00,41.2124633789063,28.0755615234375,sx7fqy,40,104,78,54,Az
2024-10-30 05:00:00,41.2289428710938,28.5150146484375,sxk68c,6,115,75,12,Az
2024-10-31 01:00:00,41.1465454101563,28.1524658203125,sxk40d,74,134,93,11,Az
2024-10-11 00:00:00,40.8883666992188,29.3280029296875,sxkbe7,51,144,87,128,Orta
2024-10-09 05:00:00,41.0971069335938,28.9874267578125,sxk9g9,6,83,31,66,Az
2024-10-29 19:00:00,41.0202026367188,29.2071533203125,sxkc2e,4,103,42,136,Orta
2024-10-30 03:00:00,41.0916137695313,28.3612060546875,sxk1v2,64,158,90,19,Az
2024-10-22 06:00:00,40.8224487304688,29.3499755859375,sxkb5z,9,139,73,335,Cok
2024-10-13 20:00:00,41.1904907226563,28.6248779296875,sxk676,8,71,45,19,Az
2024-10-09 02:00:00,41.1795043945313,28.1195068359375,sx7frb,60,148,88,17,Az
2024-10-04 09:00:00,41.1630249023438,28.4490966796875,sxk4pm,10,70,39,39,Az
2024-10-22 00:00:00,41.2509155273438,28.7017822265625,sxk6tj,50,103,82,16,Az
2024-10-08 05:00:00,41.0806274414063,28.1085205078125,sx7cxw,68,82,75,2,Az
2024-10-06 09:00:00,40.8609008789063,29.3280029296875,sxkb7q,14,102,60,51,Az
2024-10-29 18:00:00,41.0696411132813,29.0643310546875,sxk9tk,8,53,29,28,Az
2024-10-01 00:00:00,40.9927368164063,28.8885498046875,sxk91q,2,74,35,50,Az
2024-10-28 23:00:00,41.1685180664063,28.4600830078125,sxk4pw,68,148,94,13,Az
2024-10-11 06:00:00,41.1190795898438,28.8665771484375,sxk9bv,34,172,98,83,Az
2024-10-11 23:00:00,41.1630249023438,28.9984130859375,sxkd5v,10,64,40,8,Az
2024-10-01 17:00:00,40.9597778320313,29.0972900390625,sxk9n0,1,53,20,219,Orta
2024-10-20 12:00:00,41.2014770507813,28.0755615234375,sx7fqu,14,145,76,59,Az
2024-10-29 16:00:00,41.1849975585938,28.9984130859375,sxkd7c,16,59,35,16,Az
2024-10-05 01:00:00,41.1300659179688,28.8446044921875,sxk9br,41,66,56,2,Az
2024-10-10 09:00:00,40.9927368164063,28.8665771484375,sxk90y,4,76,26,155,Orta
2024-10-31 17:00:00,41.0476684570313,28.7786865234375,sxk3wb,6,82,32,131,Orta
2024-10-14 18:00:00,41.0916137695313,29.0643310546875,sxk9v2,1,102,48,765,Cok
2024-10-27 01:00:00,40.8938598632813,29.3719482421875,sxkbsk,46,156,99,113,Orta
2024-10-05 14:00:00,40.9707641601563,29.1302490234375,sxk9nf,2,45,23,92,Az
2024-10-02 18:00:00,41.1630249023438,29.4927978515625,sxkfpj,92,92,92,1,Az
2024-10-06 16:00:00,41.0476684570313,29.1192626953125,sxk9w8,1,129,46,272,Orta
2024-10-23 11:00:00,41.0092163085938,28.6578369140625,sxk3k1,1,90,30,533,Cok
2024-10-14 10:00:00,41.0476684570313,28.7457275390625,sxk3w0,12,66,38,17,Az
2024-10-28 01:00:00,41.2344360351563,29.0313720703125,sxkdsd,11,103,56,4,Az
2024-10-15 16:00:00,41.0476684570313,28.8995361328125,sxk998,4,81,20,131,Orta
2024-10-24 11:00:00,41.1300659179688,28.6248779296875,sxk3gr,5,123,60,140,Orta
2024-10-15 10:00:00,41.0476684570313,28.7567138671875,sxk3w2,17,97,63,58,Az
2024-10-02 06:00:00,40.8554077148438,29.3170166015625,sxkb7j,8,131,72,135,Orta
2024-10-24 14:00:00,41.0037231445313,29.0972900390625,sxk9q0,4,120,43,232,Orta
